rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
178,22590,Ben Skowronek,PIT,WR,5,5,69,0,4.3,2.0,100.0,1,1,100.0,13.8,13.8,1.9,0,0.0
179,24331,Grant DuBose,MIA,WR,4,2,11,0,5.9,0.8,100.0,0,0,,5.5,2.8,0.4,0,0.0
180,25040,Javon Baker,NE,WR,4,1,12,0,3.8,0.8,100.0,1,0,0.0,12.0,3.0,0.3,0,0.0
181,23746,Deven Thompkins,CAR,WR,4,4,20,0,3.6,4.2,100.0,0,0,,5.0,5.0,0.6,0,0.0
182,22345,Dan Chisena,CAR,WR,4,3,37,0,3.6,1.0,150.0,0,0,,12.3,9.2,4.6,0,0.0
183,18187,Robbie Chosen,MIA,WR,4,1,5,0,4.6,0.0,0.0,0,0,,5.0,1.2,0.0,0,0.0
184,20038,Braxton Berrios,MIA,WR,4,0,0,0,5.1,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0
185,22417,Kristian Wilkerson,LV,WR,3,2,18,1,5.6,2.0,100.0,0,0,,9.0,6.0,0.8,0,0.0
186,25498,Ramel Keyton,LV,WR,3,1,7,0,4.5,0.7,100.0,1,1,100.0,7.0,2.3,0.3,0,0.0
187,21294,Alex Bachman,LV,WR,3,3,31,0,5.7,1.7,100.0,1,1,100.0,10.3,10.3,0.7,0,0.0
188,21964,Cody White,SEA,WR,3,2,44,0,4.1,0.0,0.0,0,0,,22.0,14.7,4.9,0,0.0
189,24978,Devontez Walker,BAL,WR,3,1,21,1,4.0,1.3,50.0,1,0,0.0,21.0,7.0,1.2,0,0.0
190,22569,Dee Eskridge,MIA,WR,3,3,44,0,6.2,2.0,150.0,0,0,,14.7,14.7,11.0,0,0.0
191,23148,David Bell,CLE,WR,3,3,27,0,0.0,0.0,0.0,0,0,,9.0,9.0,0.0,0,0.0
